Rank,Rating,Title,Review,Genre,URL
1,88%,Parasite (Gisaengchung) (2019),456,"['drama', 'mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/parasite_2019
2,92%,Avengers: Endgame (2019),533,"['action', 'adventure', 'scifi', 'fantasy']",https://www.rottentomatoes.com/m/avengers_endgame
3,99%,Knives Out (2019),459,"['drama', 'mysteryandthriller', 'comedy', 'crime']",https://www.rottentomatoes.com/m/knives_out
4,100%,Us (2019),540,"['horror', 'mysteryandthriller']",https://www.rottentomatoes.com/m/us_2019
5,87%,Toy Story 4 (2019),447,"['adventure', 'kidsandfamily', 'animation', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/toy_story_4
6,80%,The Irishman (2019),445,"['drama', 'crime']",https://www.rottentomatoes.com/m/the_irishman
7,60%,Little Women (2019),414,['drama'],https://www.rottentomatoes.com/m/little_women_2019
8,55%,The Farewell (2019),335,"['drama', 'comedy']",https://www.rottentomatoes.com/m/the_farewell_2019
9,48%,Booksmart (2019),365,"['gayandlesbian', 'comedy']",https://www.rottentomatoes.com/m/booksmart
10,31%,A Beautiful Day in the Neighborhood (2019),366,"['drama', 'biography']",https://www.rottentomatoes.com/m/a_beautiful_day_in_the_neighborhood
11,21%,Marriage Story (2019),385,"['drama', 'comedy']",https://www.rottentomatoes.com/m/marriage_story_2019
12,93%,Spider-Man: Far From Home (2019),445,"['action', 'adventure', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/spider_man_far_from_home
13,31%,If Beale Street Could Talk (2019),353,"['drama', 'crime', 'romance']",https://www.rottentomatoes.com/m/if_beale_street_could_talk
14,97%,Once Upon a Time In Hollywood (2019),559,"['drama', 'comedy']",https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood
15,100%,Pain and Glory (Dolor y gloria) (2019),292,['drama'],https://www.rottentomatoes.com/m/pain_and_glory
16,92%,Shazam! (2019),407,"['action', 'adventure', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/shazam
17,69%,Ford v Ferrari (2019),343,"['drama', 'biography', 'history']",https://www.rottentomatoes.com/m/ford_v_ferrari
18,89%,The Lighthouse (2019),379,"['drama', 'mysteryandthriller']",https://www.rottentomatoes.com/m/the_lighthouse_2019
19,100%,Dolemite Is My Name (2019),228,"['drama', 'biography', 'comedy']",https://www.rottentomatoes.com/m/dolemite_is_my_name
20,85%,Uncut Gems (2019),335,"['mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/uncut_gems
21,93%,Apollo 11 (2019),183,"['drama', 'history', 'documentary']",https://www.rottentomatoes.com/m/apollo_11_2019
22,97%,Rocketman (2019),378,"['drama', 'gayandlesbian', 'biography', 'musical']",https://www.rottentomatoes.com/m/rocketman_2019
23,98%,Amazing Grace (2019),157,"['music', 'documentary']",https://www.rottentomatoes.com/m/amazing_grace_2018
24,94%,Ash Is Purest White (2019),152,"['drama', 'romance']",https://www.rottentomatoes.com/m/ash_is_purest_white
25,97%,They Shall Not Grow Old (2019),150,"['drama', 'documentary', 'war', 'history']",https://www.rottentomatoes.com/m/they_shall_not_grow_old
26,93%,Honeyland (2019),123,['documentary'],https://www.rottentomatoes.com/m/honeyland
27,97%,John Wick: Chapter 3 - Parabellum (2019),345,"['action', 'mysteryandthriller']",https://www.rottentomatoes.com/m/john_wick_chapter_3_parabellum
28,95%,The Peanut Butter Falcon (2019),213,"['drama', 'comedy', 'adventure']",https://www.rottentomatoes.com/m/the_peanut_butter_falcon
29,95%,Honey Boy (2019),230,['drama'],https://www.rottentomatoes.com/m/honey_boy
30,98%,One Cut of the Dead (Kamera o tomeru na!) (2019),87,"['horror', 'comedy']",https://www.rottentomatoes.com/m/one_cut_of_the_dead
31,96%,Knock Down the House (2019),103,['documentary'],https://www.rottentomatoes.com/m/knock_down_the_house
32,95%,Birds of Passage (Pájaros de verano) (2019),167,"['drama', 'crime']",https://www.rottentomatoes.com/m/birds_of_passage_2019
33,94%,Captain Marvel (2019),528,"['action', 'adventure', 'fantasy', 'scifi']",https://www.rottentomatoes.com/m/captain_marvel
34,91%,For Sama (2019),97,"['war', 'documentary']",https://www.rottentomatoes.com/m/for_sama
35,95%,Maiden (2019),117,['documentary'],https://www.rottentomatoes.com/m/maiden
36,85%,Atlantics (2019),152,,https://www.rottentomatoes.com/m/atlantics
37,97%,Fighting with My Family (2019),238,"['drama', 'biography', 'comedy']",https://www.rottentomatoes.com/m/fighting_with_my_family
38,90%,Hustlers (2019),342,"['drama', 'comedy']",https://www.rottentomatoes.com/m/hustlers_2019
39,92%,One Child Nation (2019),100,['documentary'],https://www.rottentomatoes.com/m/one_child_nation
40,90%,3 Faces (2019),97,['drama'],https://www.rottentomatoes.com/m/3_faces
41,97%,Woman at War (Kona fer í stríð) (2019),117,"['drama', 'comedy']",https://www.rottentomatoes.com/m/woman_at_war
42,92%,Chained for Life (2019),51,['drama'],https://www.rottentomatoes.com/m/chained_for_life_2018
43,99%,How to Train Your Dragon: The Hidden World (2019),265,"['adventure', 'kidsandfamily', 'animation', 'comedy', 'fantasy']",https://www.rottentomatoes.com/m/how_to_train_your_dragon_the_hidden_world
44,89%,First Love (Hatsukoi) (2019),115,"['drama', 'comedy', 'crime']",https://www.rottentomatoes.com/m/first_love_2019
45,99%,The Chambermaid (La camarista) (2019),70,['drama'],https://www.rottentomatoes.com/m/the_chambermaid
46,99%,Transit (2019),177,"['history', 'drama']",https://www.rottentomatoes.com/m/transit_2018
47,99%,Tigers Are Not Afraid (Vuelven) (2019),112,"['horror', 'mysteryandthriller', 'fantasy']",https://www.rottentomatoes.com/m/tigers_are_not_afraid
48,100%,Stan & Ollie (2019),219,"['comedy', 'drama', 'history', 'biography']",https://www.rottentomatoes.com/m/stan_and_ollie
49,89%,Midnight Traveler (2019),46,"['documentary', 'war']",https://www.rottentomatoes.com/m/midnight_traveler
50,95%,Ready or Not (2019),303,"['horror', 'mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/ready_or_not_2019
51,94%,Mickey and the Bear (2019),45,['drama'],https://www.rottentomatoes.com/m/mickey_and_the_bear
52,100%,Deadwood: The Movie (2019),87,['western'],https://www.rottentomatoes.com/m/deadwood_the_movie
53,99%,Hail Satan? (2019),129,['documentary'],https://www.rottentomatoes.com/m/hail_satan
54,96%,Varda by Agnès (2019),86,"['documentary', 'biography']",https://www.rottentomatoes.com/m/varda_by_agnes
55,79%,"Scream, Queen! My Nightmare on Elm Street (2019)",41,"['documentary', 'gayandlesbian']",https://www.rottentomatoes.com/m/scream_queen_my_nightmare_on_elm_street
56,99%,White Riot (2019),40,"['documentary', 'music']",https://www.rottentomatoes.com/m/white_riot
57,98%,The Heiresses (Las Herederas) (2019),80,"['drama', 'gayandlesbian']",https://www.rottentomatoes.com/m/the_heiresses
58,96%,Toni Morrison: The Pieces I Am (2019),99,['documentary'],https://www.rottentomatoes.com/m/toni_morrison_the_pieces_i_am
59,92%,The Last Black Man in San Francisco (2019),205,['drama'],https://www.rottentomatoes.com/m/the_last_black_man_in_san_francisco
60,87%,Midsommar (2019),390,"['horror', 'mysteryandthriller']",https://www.rottentomatoes.com/m/midsommar
61,98%,The Mustang (2019),132,['drama'],https://www.rottentomatoes.com/m/the_mustang
62,98%,Wild Rose (2019),191,"['music', 'comedy', 'drama']",https://www.rottentomatoes.com/m/wild_rose_2019
63,97%,Blinded by the Light (2019),254,"['drama', 'comedy', 'music']",https://www.rottentomatoes.com/m/blinded_by_the_light
64,100%,Bad Education (2019),145,"['drama', 'comedy']",https://www.rottentomatoes.com/m/bad_education_2019
65,90%,Ad Astra (2019),378,"['scifi', 'mysteryandthriller', 'adventure']",https://www.rottentomatoes.com/m/ad_astra
66,97%,63 Up (2019),56,['documentary'],https://www.rottentomatoes.com/m/63_up
67,99%,Homecoming: A Film by Beyoncé (2019),55,,https://www.rottentomatoes.com/m/homecoming_a_film_by_beyonce
68,94%,Too Late to Die Young (Tarde para morir joven) (2019),55,['drama'],https://www.rottentomatoes.com/m/too_late_to_die_young
69,97%,By the Grace of God (Grâce à Dieu) (2019),96,['drama'],https://www.rottentomatoes.com/m/by_the_grace_of_god_2019
70,92%,Dark Waters (2019),223,"['drama', 'mysteryandthriller']",https://www.rottentomatoes.com/m/dark_waters_2019
71,100%,Gloria Bell (2019),201,['romance'],https://www.rottentomatoes.com/m/gloria_bell
72,88%,Midnight Family (2019),72,"['action', 'documentary', 'drama', 'crime']",https://www.rottentomatoes.com/m/midnight_family
73,100%,Buñuel in the Labyrinth of the Turtles (Buñuel en el laberinto de las tortugas) (2019),49,"['drama', 'animation']",https://www.rottentomatoes.com/m/bunuel_in_the_labyrinth_of_the_turtles
74,98%,American Factory (2019),90,['documentary'],https://www.rottentomatoes.com/m/american_factory
75,96%,Fiddler: A Miracle of Miracles (2019),44,"['documentary', 'music']",https://www.rottentomatoes.com/m/fiddler_a_miracle_of_miracles
76,98%,Making Waves: The Art of Cinematic Sound (2019),65,['documentary'],https://www.rottentomatoes.com/m/making_waves_the_art_of_cinematic_sound
77,100%,Working Woman (2019),43,['drama'],https://www.rottentomatoes.com/m/working_woman
78,100%,Dirty God (2019),41,['drama'],https://www.rottentomatoes.com/m/dirty_god
79,98%,The Cave (2019),62,['documentary'],https://www.rottentomatoes.com/m/the_cave_2019
80,97%,The Kingmaker (2019),62,['documentary'],https://www.rottentomatoes.com/m/the_kingmaker
81,92%,"Love, Antosha (2019)",61,['documentary'],https://www.rottentomatoes.com/m/love_antosha
82,83%,I Lost My Body (2019),82,"['drama', 'animation', 'fantasy']",https://www.rottentomatoes.com/m/i_lost_my_body
83,95%,Harpoon (2019),59,"['mysteryandthriller', 'comedy']",https://www.rottentomatoes.com/m/harpoon_2019
84,92%,Jojo Rabbit (2019),418,"['drama', 'comedy']",https://www.rottentomatoes.com/m/jojo_rabbit
85,89%,Little Woods (2019),96,['drama'],https://www.rottentomatoes.com/m/little_woods
86,94%,The Two Popes (2019),221,['drama'],https://www.rottentomatoes.com/m/the_two_popes
87,83%,In Fabric (2019),156,"['horror', 'comedy']",https://www.rottentomatoes.com/m/in_fabric
88,98%,Mike Wallace Is Here (2019),91,"['documentary', 'biography']",https://www.rottentomatoes.com/m/mike_wallace_is_here
89,98%,Ray & Liz (2019),69,['drama'],https://www.rottentomatoes.com/m/ray_and_liz
90,98%,Be Natural: The Untold Story of Alice Guy-Blaché (2019),86,['documentary'],https://www.rottentomatoes.com/m/be_natural_the_untold_story_of_alice_guy_blache
91,96%,Monos (2019),150,"['adventure', 'mysteryandthriller']",https://www.rottentomatoes.com/m/monos
92,90%,Clemency (2019),148,['drama'],https://www.rottentomatoes.com/m/clemency_2019
93,91%,Shadow (2019),102,"['sportsandfitness', 'action', 'adventure']",https://www.rottentomatoes.com/m/shadow_2018
94,97%,Rojo (2019),53,"['drama', 'mysteryandthriller']",https://www.rottentomatoes.com/m/rojo_2018
95,98%,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),49,['drama'],https://www.rottentomatoes.com/m/an_elephant_sitting_still
96,96%,Citizen K (2019),59,['documentary'],https://www.rottentomatoes.com/m/citizen_k
97,98%,The Wild Pear Tree (Ahlat agaci) (2019),80,['drama'],https://www.rottentomatoes.com/m/the_wild_pear_tree
98,97%,The Kid Who Would Be King (2019),187,"['kidsandfamily', 'adventure', 'fantasy']",https://www.rottentomatoes.com/m/the_kid_who_would_be_king
99,98%,The LEGO Movie 2: The Second Part (2019),295,"['action', 'adventure', 'kidsandfamily', 'animation', 'comedy']",https://www.rottentomatoes.com/m/the_lego_movie_2_the_second_part
100,98%,Raise Hell: The Life & Times of Molly Ivins (2019),58,['documentary'],https://www.rottentomatoes.com/m/raise_hell_the_life_and_times_of_molly_ivins
